slot,mode,k_graph,max_dist,evpK,non_zeros,k_ext,prune_worst,eps_ext,recall_dev_large,total_s_avx512,build_s
1,mode4,26,500,50,608,32,9,0.002,0.792,302.6,184.1
2,mode4,26,600,50,608,32,9,0.002,0.8023,312.9,184.1
3,mode4,26,700,50,608,32,9,0.002,0.8109,323.0,184.1
4,mode4,26,800,50,608,32,9,0.002,0.8181,332.1,184.1
5,mode4,26,900,50,608,32,9,0.002,0.8239,340.3,184.1
6,mode4,26,1000,50,608,32,9,0.002,0.8286,348.3,184.1
7,mode4,26,1200,50,608,32,9,0.002,0.8353,360.9,184.1
8,mode4,26,1400,50,608,32,9,0.002,0.8393,369.1,184.1
9,mode4,32,900,50,512,24,11,0.002,0.8422,386.1,227.5
10,mode4,32,800,100,512,24,11,0.002,0.8474,403.9,222.2
11,mode7,28,400,50,576,34,10,0.002,0.8061,400.8,231.1
12,mode7,32,400,50,512,24,11,0.002,0.8148,403.4,228.8
13,mode7,32,500,50,512,24,11,0.002,0.8271,427.7,228.8
14,mode7,32,600,50,512,24,11,0.002,0.8372,454.4,228.8
15,mode7,28,800,75,576,34,10,0.002,0.8485,496.8,223.9
