slot,mode,k_graph,k_ext,prune_worst,non_zeros,max_dist,evpK,recall_avx512,total_avx512,recall_avx2,total_avx2,avx2/avx512
1,mode4,26,32,9,608,500,50,0.792,302.6,0.7918,316.7,1.047
2,mode4,26,32,9,608,600,50,0.8023,312.9,0.8021,328.3,1.049
3,mode4,26,32,9,608,700,50,0.8109,323.0,0.8107,339.7,1.052
4,mode4,26,32,9,608,800,50,0.8181,332.1,0.8178,350.1,1.054
5,mode4,26,32,9,608,900,50,0.8239,340.3,0.8237,359.7,1.057
6,mode4,26,32,9,608,1000,50,0.8286,348.3,0.8284,368.3,1.057
7,mode4,26,32,9,608,1200,50,0.8353,360.9,0.8351,382.6,1.06
8,mode4,26,32,9,608,1400,50,0.8393,369.1,0.8391,393.7,1.067
9,mode4,32,24,11,512,900,50,0.8422,386.1,0.8422,410.9,1.064
10,mode4,32,24,11,512,800,100,0.8474,403.9,0.8474,432.7,1.071
11,mode7,28,34,10,576,400,50,0.8061,400.8,0.8067,392.3,0.979
12,mode7,32,24,11,512,400,50,0.8148,403.4,0.8143,413.7,1.026
13,mode7,32,24,11,512,500,50,0.8271,427.7,0.8267,439.0,1.026
14,mode7,32,24,11,512,600,50,0.8372,454.4,0.8367,464.8,1.023
15,mode7,28,34,10,576,800,75,0.8485,496.8,0.8487,513.4,1.033
