number,state,recall,overall_time_s,exit_code,non_zeros,k_graph,k_ext,eps_ext,prune_worst,max_dist,evpK
0,COMPLETE,0.7411,14.9,0,448,62,98,0.004128205343826225,5,76,16
1,COMPLETE,0.8773000000000001,11.8,0,896,44,96,0.00011364672700011186,26,502,29
2,COMPLETE,0.7061,5.1,0,256,20,50,0.002607965659809585,5,111,51
3,COMPLETE,0.6556000000000001,5.4,0,192,26,57,0.0017018418817029183,12,86,36
4,COMPLETE,0.8959,11.6,0,640,14,84,0.00028856223618597374,0,694,357
5,COMPLETE,0.7117,5.1,0,832,28,27,0.007026263205443053,7,70,32
6,COMPLETE,0.7248,39.6,0,128,60,45,0.0061394260508981545,11,210,63
7,COMPLETE,,,137,256,64,103,0.0343304473310619,34,261,209
8,COMPLETE,0.6265999999999999,4.6,0,192,22,21,0.0007551909976018516,5,105,75
9,COMPLETE,0.7115,5.9,0,384,26,77,0.00024007683448156383,12,61,60
10,COMPLETE,0.7039,5.1,0,896,26,52,0.007442130808223727,8,80,23
11,COMPLETE,0.8885,11.8,0,704,12,78,0.00042380662443340514,0,753,386
12,COMPLETE,0.7043,7.5,0,512,32,45,0.017987583199268294,0,60,34
13,COMPLETE,0.8874,9.3,0,320,24,97,0.00016012557418132947,8,388,193
14,COMPLETE,0.7299,7.2,0,128,16,92,0.00034236872793233904,7,293,134
15,COMPLETE,0.6849,3.5,0,576,14,16,0.023238124794997615,7,98,21
16,COMPLETE,0.6694,4.0,0,640,12,37,0.0005141703003057606,3,120,90
17,COMPLETE,0.7611,6.0,0,640,36,18,0.000686722340598904,17,56,40
18,COMPLETE,0.8193,9.2,0,576,52,18,0.0015648723097749953,20,53,42
19,COMPLETE,0.9311,12.4,0,384,42,108,0.00019793814417363195,17,416,140
20,COMPLETE,0.7478,8.8,0,960,52,42,0.000400115652890741,21,55,43
21,COMPLETE,0.7249,7.1,0,384,16,31,0.019530814331053054,8,377,15
22,COMPLETE,0.7349,4.8,0,512,20,18,0.024816053482707035,11,93,24
23,COMPLETE,0.7373000000000001,11.2,0,448,16,25,0.04164571833893758,8,118,23
24,COMPLETE,0.8432,24.6,0,576,50,16,0.04950304372443588,14,127,22
25,COMPLETE,0.887,9.1,0,320,22,55,0.00015368466546959595,10,479,217
26,COMPLETE,0.7903,7.6,0,448,20,52,0.00011556711838395162,10,683,17
27,COMPLETE,0.7223999999999999,4.7,0,576,18,18,0.0051259632895964335,9,144,107
28,COMPLETE,0.8764,9.9,0,256,40,39,0.0006337036676216067,14,344,208
29,COMPLETE,0.752,7.2,0,704,32,30,0.018336706728098492,13,322,15
30,COMPLETE,0.7343000000000001,5.4,0,896,12,52,0.03717696316944822,6,218,25
31,COMPLETE,0.7445,7.7,0,448,24,25,0.00016566844334323685,10,759,15
32,COMPLETE,0.7239,6.6,0,384,16,54,0.00015161610631536754,8,581,15
33,COMPLETE,0.8159000000000001,6.3,0,384,28,54,0.00016502883567485628,10,217,23
34,COMPLETE,0.7995,7.0,0,320,34,66,0.000136978350511478,12,154,26
35,COMPLETE,0.8165,5.4,0,384,24,32,0.0003984658408811501,10,263,27
36,COMPLETE,0.8584,7.5,0,448,26,30,0.0006431413098191997,11,312,170
37,COMPLETE,0.8604999999999999,6.4,0,384,26,39,0.0010262780910384067,4,358,37
38,COMPLETE,0.8506,12.6,0,192,36,29,0.006545767893769758,4,531,42
39,COMPLETE,0.7256999999999999,5.0,0,192,22,20,0.00014568773180462471,4,295,33
40,COMPLETE,0.826,5.6,0,384,24,55,0.001343472472804099,4,222,32
41,COMPLETE,0.9222,14.5,0,256,38,106,0.0004022152841529972,18,581,259
42,COMPLETE,0.7468,12.7,0,192,46,109,0.00016124279532121744,5,164,121
43,COMPLETE,0.922,11.7,0,512,48,112,0.00013923492060542158,16,337,34
44,COMPLETE,0.9372,13.7,0,576,54,109,0.00019640616521585132,26,366,37
45,COMPLETE,0.615,3.1,0,768,12,29,0.014303104525657003,2,77,29
46,COMPLETE,0.8338,5.6,0,704,24,31,0.00012565166017299345,7,258,54
47,COMPLETE,0.8521,7.4,0,448,12,52,0.0020191529111172122,6,675,32
48,COMPLETE,0.8540000000000001,12.4,0,896,62,25,0.0029105339450403414,14,253,27
49,COMPLETE,0.6979000000000001,5.6,0,128,12,35,0.0022906073274746182,6,350,52
50,COMPLETE,0.8499,7.9,0,768,34,95,0.00018917585622983208,9,231,26
51,COMPLETE,0.6657,3.8,0,640,12,16,0.042670818878214764,2,87,21
52,COMPLETE,0.6999,6.2,0,960,22,115,0.0021450706521689527,11,89,35
53,COMPLETE,0.7232,10.3,0,512,42,112,0.004977507598902693,5,63,20
54,COMPLETE,0.794,15.0,0,960,64,124,0.00035009993089327624,33,89,32
55,COMPLETE,0.8740000000000001,10.9,0,768,36,86,0.019011178133900908,11,207,51
56,COMPLETE,0.6870999999999999,5.0,0,320,22,27,0.010119262098735562,10,74,21
57,COMPLETE,0.7501000000000001,21.2,0,896,54,109,0.03683693580606546,0,95,35
58,COMPLETE,0.9281999999999999,14.5,0,640,20,95,0.018624410407434445,3,615,386
59,COMPLETE,0.9623999999999999,15.2,0,384,60,65,0.0002382380746346163,26,770,69
60,COMPLETE,0.9627,14.7,0,640,62,57,0.00035356423598514175,22,648,74
61,COMPLETE,0.9506,14.6,0,832,62,50,0.0006075849764887287,21,610,64
62,COMPLETE,0.9521999999999999,11.9,0,704,50,64,0.00010798614199877059,21,629,55
63,COMPLETE,0.9193000000000001,12.6,0,704,56,47,0.00012643809312784307,0,357,195
64,COMPLETE,0.9240999999999999,12.7,0,960,50,72,0.00010593116911180382,23,711,48
65,COMPLETE,0.9470999999999999,14.2,0,640,46,47,0.00015785684581367734,6,726,254
66,COMPLETE,0.8234999999999999,6.0,0,384,32,23,0.0003758720069796266,8,220,27
67,COMPLETE,0.8563,6.7,0,960,22,55,0.003195914386133985,3,437,47
68,COMPLETE,0.6884,3.9,0,640,24,18,0.004983286861732118,9,58,21
69,COMPLETE,0.5588000000000001,69.2,0,128,16,127,0.011014506728982555,2,118,28
