k_graph,k_ext,prune_worst,non_zeros,build_s,base_s,max_dist,evpK,explore_rerank_s,total_s,recall
24,40,8,600,193.7,236.8,400,50,78.9,315.7,0.7874
24,40,8,600,193.7,236.8,500,50,91.4,328.2,0.7995
24,40,8,600,193.7,236.8,600,50,103.7,340.5,0.8094
24,40,8,600,193.7,236.8,700,50,114.9,351.7,0.8177
24,40,8,600,193.7,236.8,800,50,125.5,362.3,0.8246
24,40,8,600,193.7,236.8,1000,50,145.7,382.5,0.8346
28,40,10,600,224.6,268.3,400,50,78.4,346.7,0.8079
28,40,10,600,224.6,268.3,500,50,91.3,359.6,0.8187
28,40,10,600,224.6,268.3,600,50,104.1,372.4,0.8273
28,40,10,600,224.6,268.3,700,50,116.4,384.7,0.8347
28,40,10,600,224.6,268.3,800,50,127.7,396.0,0.8409
28,40,10,600,224.6,268.3,1000,50,148.0,416.3,0.8504
32,40,11,600,250.8,295.4,400,50,76.2,371.6,0.8213
32,40,11,600,250.8,295.4,500,50,88.7,384.1,0.8313
32,40,11,600,250.8,295.4,600,50,101.1,396.5,0.8391
32,40,11,600,250.8,295.4,700,50,113.0,408.4,0.8455
32,40,11,600,250.8,295.4,800,50,124.0,419.4,0.851
32,40,11,600,250.8,295.4,1000,50,144.9,440.3,0.8601
