tier,config,mode,non_zeros,k_graph,k_ext,prune_worst,eps_ext,load_s,quant_s,build_s,convert_s,max_dist,evpK,explore_rerank_s,total_s,recall
A,A_4_kg24,mode4,640,24,30,8,0.002,30.1,16.0,167.2,0.0,400,50,71.6,285.6,0.7559
A,A_4_kg24,mode4,640,24,30,8,0.002,30.1,16.0,167.2,0.0,500,50,82.9,296.9,0.7698
A,A_4_kg24,mode4,640,24,30,8,0.002,30.1,16.0,167.2,0.0,600,50,92.9,306.9,0.7813
A,A_4_kg24,mode4,640,24,30,8,0.002,30.1,16.0,167.2,0.0,700,50,102.5,316.5,0.7908
A,A_4_kg24,mode4,640,24,30,8,0.002,30.1,16.0,167.2,0.0,800,50,111.5,325.5,0.7986
A,A_4_kg24,mode4,640,24,30,8,0.002,30.1,16.0,167.2,0.0,900,50,120.3,334.3,0.8049
A,A_4_kg24,mode4,640,24,30,8,0.002,30.1,16.0,167.2,0.0,1000,50,127.4,341.4,0.8098
A,A_4_kg24,mode4,640,24,30,8,0.002,30.1,16.0,167.2,0.0,1200,50,139.7,353.7,0.8167
A,A_4_kg24,mode4,640,24,30,8,0.002,30.1,16.0,167.2,0.0,1400,50,146.9,360.9,0.8206
A,A_4_kg26,mode4,608,26,32,9,0.002,19.7,16.4,184.1,0.0,400,50,70.9,291.8,0.7798
A,A_4_kg26,mode4,608,26,32,9,0.002,19.7,16.4,184.1,0.0,500,50,81.7,302.6,0.792
A,A_4_kg26,mode4,608,26,32,9,0.002,19.7,16.4,184.1,0.0,600,50,92.0,312.9,0.8023
A,A_4_kg26,mode4,608,26,32,9,0.002,19.7,16.4,184.1,0.0,700,50,102.1,323.0,0.8109
A,A_4_kg26,mode4,608,26,32,9,0.002,19.7,16.4,184.1,0.0,800,50,111.2,332.1,0.8181
A,A_4_kg26,mode4,608,26,32,9,0.002,19.7,16.4,184.1,0.0,900,50,119.4,340.3,0.8239
A,A_4_kg26,mode4,608,26,32,9,0.002,19.7,16.4,184.1,0.0,1000,50,127.4,348.3,0.8286
A,A_4_kg26,mode4,608,26,32,9,0.002,19.7,16.4,184.1,0.0,1200,50,140.0,360.9,0.8353
A,A_4_kg26,mode4,608,26,32,9,0.002,19.7,16.4,184.1,0.0,1400,50,148.2,369.1,0.8393
A,A_4_kg28,mode4,576,28,34,10,0.002,20.9,16.7,227.6,0.0,400,50,72.5,338.5,0.7978
A,A_4_kg28,mode4,576,28,34,10,0.002,20.9,16.7,227.6,0.0,500,50,83.3,349.3,0.809
A,A_4_kg28,mode4,576,28,34,10,0.002,20.9,16.7,227.6,0.0,600,50,94.2,360.2,0.8181
A,A_4_kg28,mode4,576,28,34,10,0.002,20.9,16.7,227.6,0.0,700,50,104.6,370.6,0.8259
A,A_4_kg28,mode4,576,28,34,10,0.002,20.9,16.7,227.6,0.0,800,50,114.1,380.1,0.8325
A,A_4_kg28,mode4,576,28,34,10,0.002,20.9,16.7,227.6,0.0,900,50,123.0,389.0,0.838
A,A_4_kg28,mode4,576,28,34,10,0.002,20.9,16.7,227.6,0.0,1000,50,131.3,397.3,0.8424
A,A_4_kg28,mode4,576,28,34,10,0.002,20.9,16.7,227.6,0.0,1200,50,145.1,411.1,0.849
A,A_4_kg28,mode4,576,28,34,10,0.002,20.9,16.7,227.6,0.0,1400,50,155.4,421.4,0.853
A,A_4_kg32,mode4,512,32,24,11,0.002,20.6,16.9,227.5,0.0,400,50,70.3,336.3,0.8052
A,A_4_kg32,mode4,512,32,24,11,0.002,20.6,16.9,227.5,0.0,500,50,81.1,347.1,0.8155
A,A_4_kg32,mode4,512,32,24,11,0.002,20.6,16.9,227.5,0.0,600,50,91.5,357.5,0.8237
A,A_4_kg32,mode4,512,32,24,11,0.002,20.6,16.9,227.5,0.0,700,50,101.1,367.1,0.8307
A,A_4_kg32,mode4,512,32,24,11,0.002,20.6,16.9,227.5,0.0,800,50,110.9,376.9,0.8369
A,A_4_kg32,mode4,512,32,24,11,0.002,20.6,16.9,227.5,0.0,900,50,120.1,386.1,0.8422
A,A_4_kg32,mode4,512,32,24,11,0.002,20.6,16.9,227.5,0.0,1000,50,127.9,393.9,0.8468
A,A_4_kg32,mode4,512,32,24,11,0.002,20.6,16.9,227.5,0.0,1200,50,142.7,408.7,0.8538
A,A_4_kg32,mode4,512,32,24,11,0.002,20.6,16.9,227.5,0.0,1400,50,155.0,421.0,0.8586
A,A_4_kg30,mode4,544,30,30,10,0.002,25.6,16.8,227.9,0.0,400,50,72.2,343.4,0.7904
A,A_4_kg30,mode4,544,30,30,10,0.002,25.6,16.8,227.9,0.0,500,50,83.1,354.3,0.8015
A,A_4_kg30,mode4,544,30,30,10,0.002,25.6,16.8,227.9,0.0,600,50,94.0,365.2,0.8107
A,A_4_kg30,mode4,544,30,30,10,0.002,25.6,16.8,227.9,0.0,700,50,104.0,375.2,0.8187
A,A_4_kg30,mode4,544,30,30,10,0.002,25.6,16.8,227.9,0.0,800,50,114.0,385.2,0.8256
A,A_4_kg30,mode4,544,30,30,10,0.002,25.6,16.8,227.9,0.0,900,50,123.0,394.2,0.8315
A,A_4_kg30,mode4,544,30,30,10,0.002,25.6,16.8,227.9,0.0,1000,50,132.1,403.3,0.8364
A,A_4_kg30,mode4,544,30,30,10,0.002,25.6,16.8,227.9,0.0,1200,50,146.8,418.0,0.8438
A,A_4_kg30,mode4,544,30,30,10,0.002,25.6,16.8,227.9,0.0,1400,50,158.6,429.8,0.8487
A,A_4_kg22,mode4,672,22,28,7,0.002,23.7,15.3,161.6,0.0,400,50,74.3,275.5,0.7305
A,A_4_kg22,mode4,672,22,28,7,0.002,23.7,15.3,161.6,0.0,500,50,85.5,286.7,0.7461
A,A_4_kg22,mode4,672,22,28,7,0.002,23.7,15.3,161.6,0.0,600,50,95.9,297.1,0.7588
A,A_4_kg22,mode4,672,22,28,7,0.002,23.7,15.3,161.6,0.0,700,50,106.1,307.3,0.7692
A,A_4_kg22,mode4,672,22,28,7,0.002,23.7,15.3,161.6,0.0,800,50,115.3,316.5,0.7775
A,A_4_kg22,mode4,672,22,28,7,0.002,23.7,15.3,161.6,0.0,900,50,123.2,324.4,0.784
A,A_4_kg22,mode4,672,22,28,7,0.002,23.7,15.3,161.6,0.0,1000,50,130.5,331.7,0.7891
A,A_4_kg22,mode4,672,22,28,7,0.002,23.7,15.3,161.6,0.0,1200,50,142.5,343.7,0.796
A,A_4_kg22,mode4,672,22,28,7,0.002,23.7,15.3,161.6,0.0,1400,50,150.1,351.3,0.7998
A,A_4_kg36,mode4,512,36,28,13,0.002,26.7,16.8,302.0,0.0,400,50,71.5,418.1,0.8297
A,A_4_kg36,mode4,512,36,28,13,0.002,26.7,16.8,302.0,0.0,500,50,83.3,429.9,0.8389
A,A_4_kg36,mode4,512,36,28,13,0.002,26.7,16.8,302.0,0.0,600,50,94.5,441.1,0.8459
A,A_4_kg36,mode4,512,36,28,13,0.002,26.7,16.8,302.0,0.0,700,50,105.2,451.8,0.8517
A,A_4_kg36,mode4,512,36,28,13,0.002,26.7,16.8,302.0,0.0,800,50,115.8,462.4,0.8566
A,A_4_kg36,mode4,512,36,28,13,0.002,26.7,16.8,302.0,0.0,900,50,124.6,471.2,0.8609
A,A_4_kg36,mode4,512,36,28,13,0.002,26.7,16.8,302.0,0.0,1000,50,132.7,479.3,0.8648
A,A_4_kg36,mode4,512,36,28,13,0.002,26.7,16.8,302.0,0.0,1200,50,149.7,496.3,0.871
A,A_4_kg36,mode4,512,36,28,13,0.002,26.7,16.8,302.0,0.0,1400,50,164.2,510.8,0.8754
A,A_4_kg40,mode4,512,40,31,14,0.002,27.2,16.9,331.8,0.0,400,50,70.1,447.3,0.8473
A,A_4_kg40,mode4,512,40,31,14,0.002,27.2,16.9,331.8,0.0,500,50,80.7,457.9,0.8559
A,A_4_kg40,mode4,512,40,31,14,0.002,27.2,16.9,331.8,0.0,600,50,91.3,468.5,0.8623
A,A_4_kg40,mode4,512,40,31,14,0.002,27.2,16.9,331.8,0.0,700,50,101.4,478.6,0.8673
A,A_4_kg40,mode4,512,40,31,14,0.002,27.2,16.9,331.8,0.0,800,50,111.2,488.4,0.8715
A,A_4_kg40,mode4,512,40,31,14,0.002,27.2,16.9,331.8,0.0,900,50,121.4,498.6,0.8751
